platform,text,sentiment,emotion
Twitter,Letter toward difficult reality address hit. 😊 #HopeEast,1,grateful
Instagram,Central major join site pay final. 👎 #InFail,-1,frustrated
Twitter,Table toward cold. 😊 #HardConsumer,1,grateful
Instagram,President consider include. 🌟 #ReachPlan,1,joyful
Twitter,Stuff view firm among leg camera two know. 👎 #AddressFail,-1,frustrated
Instagram,Make case listen customer color company. 👎 #PeopleFail,-1,annoyed
Twitter,Section those and follow. 😤 #LeadFail,-1,annoyed
Twitter,Loss state experience likely next role arm near. 🛋️ #Event,0,calm
Twitter,Raise matter many child not although consumer. 😤 #GoalFail,-1,angry
Twitter,Security significant vote officer. 😐 #Service,0,indifferent
Instagram,Build Mr cultural couple save read. 🌟 #EightEight,1,joyful
Instagram,Cover six yet factor. 😐 #Resource,0,indifferent
Twitter,Could husband success PM. 😊 #AreaMean,1,joyful
Twitter,Table former leave start network trade wait. 🎉 #DogRather,1,grateful
Twitter,Change senior arrive seat all property. 🌧️ #This,0,bored
Twitter,Hope him card discussion fish two. 😩 #RunFail,-1,sad
Instagram,Body make eat political opportunity outside. 🌟 #OftenHour,1,peaceful
Instagram,Staff choose but more. 😊 #FederalAlong,1,peaceful
Instagram,Part summer lawyer ground music. 👎 #EducationFail,-1,annoyed
Twitter,Sit professor job live care interest. 🌧️ #Stay,0,indifferent
Instagram,Recognize find too money difficult. 😊 #MinuteBlack,1,grateful
Twitter,Carry pay always. 🌟 #FundUpon,1,happy
Instagram,Easy on himself car baby break. 😊 #BoxFact,1,joyful
Twitter,Guess owner increase realize spend training. 🛋️ #Process,0,relaxed
Twitter,Future interest five choose music service. 🎉 #SeniorCard,1,excited
Twitter,Man score paper. 😐 #Already,0,bored
Instagram,Research even win behind skin floor. 🌟 #CenterMorning,1,joyful
Twitter,Role beat third four lay activity particularly six. 🌟 #DemocratBehavior,1,excited
Instagram,Character land paper should crime everything maybe. 😐 #Mission,0,indifferent
Instagram,Perform occur listen visit. 🌧️ #Budget,0,bored
Twitter,Explain moment research present own. 🌟 #FinallyLive,1,grateful
Twitter,Age nation worry prove decade performance. 🛋️ #Level,0,relaxed
Instagram,Though as lot message. 😩 #PictureFail,-1,annoyed
Instagram,Toward behind power any mention treatment though. 🌟 #EveryRace,1,happy
Instagram,Concern despite subject society. 🛋️ #Manage,0,calm
Instagram,Treatment available source major. 😐 #Population,0,indifferent
Instagram,Later no catch me whatever sure the. 🛋️ #Study,0,bored
Instagram,Explain trouble account skin recognize bit his. 😩 #BarFail,-1,sad
Twitter,Race adult tough chance message. 🌧️ #Begin,0,bored
Instagram,Response body natural some around set skin. 😊 #WantPoint,1,grateful
Instagram,Say fly leader race all tough firm. 🌧️ #Clearly,0,bored
Twitter,School upon consumer. 👎 #BuyFail,-1,frustrated
Instagram,Medical reason less financial. 🎉 #TreatProbably,1,grateful
Twitter,Picture member during. 😤 #InterviewFail,-1,annoyed
Instagram,Yard weight cup community house. 😊 #DevelopmentOr,1,grateful
Twitter,Security forget garden water must deal. 🌟 #ResearchForm,1,happy
Twitter,Wrong south piece standard. 👎 #IndustryFail,-1,angry
Twitter,Recent high public nature. 👎 #ColdFail,-1,annoyed
Twitter,West city same store. 🛋️ #City,0,bored
Instagram,Country line education coach spend personal gun. 😐 #Which,0,indifferent
